"geneA","geneB","connA","connB","physical.conn"
"YML030W","YPR042C","19","39","27.221"
"YML030W","YPR191W","19","21","19.975"
"YML081C-A","YPL078C","8","18","12"
"YML129C","YNL052W","20","19","19.494"
"YML129C","YOR065W","20","17","18.439"
"YML129C","YPR042C","20","39","27.928"
"YMR244C-A","YPR042C","5","39","13.964"
"YMR256C","YPR042C","8","39","17.664"
"YNL026W","YNL052W","22","19","20.445"
"YNL026W","YOR065W","22","17","19.339"
"YNL026W","YPR191W","22","21","21.494"
"YNL030W","YPR042C","7","39","16.523"
"YNL052W","YNR018W","19","19","19"
"YNL052W","YPR042C","19","39","27.221"
"YNL305C","YPR191W","7","21","12.124"
"YNR017W","YPR042C","15","39","24.187"
"YNR018W","YOR065W","19","17","17.972"
"YNR018W","YOR090C","19","9","13.077"
"YNR018W","YPR042C","19","39","27.221"
"YNR018W","YPR191W","19","21","19.975"
"YOL027C","YPR125W","15","9","11.619"
"YOR065W","YPR191W","17","21","18.894"
"YPL078C","YPL271W","18","11","14.071"
"YPL172C","YPR042C","3","39","10.817"
